our_code,level,nso_province,nso_district,nso_label
NP01,province,1,,koshi
NP02,province,2,,madhesh
NP03,province,3,,bagmati
NP04,province,4,,gandaki
NP05,province,5,,lumbini
NP06,province,6,,karnali
NP07,province,7,,sudurpaschim
NP0101,district,1,1,taplejung
NP0109,district,1,2,sankhuwasabha
NP0111,district,1,3,solukhumbu
NP0113,district,1,4,okhaldhunga
NP0112,district,1,5,khotang
NP0110,district,1,6,bhojpur
NP0107,district,1,7,dhankuta
NP0108,district,1,8,terhathum
NP0102,district,1,9,panchthar
NP0103,district,1,10,ilam
NP0104,district,1,11,jhapa
NP0105,district,1,12,morang
NP0106,district,1,13,sunsari
NP0114,district,1,14,udayapur
NP0215,district,2,15,saptari
NP0216,district,2,16,siraha
NP0217,district,2,17,dhanusa
NP0218,district,2,18,mahottari
NP0219,district,2,19,sarlahi
NP0232,district,2,20,rautahat
NP0233,district,2,21,bara
NP0234,district,2,22,parsa
NP0322,district,3,23,dolakha
NP0323,district,3,24,sindhupalchok
NP0329,district,3,25,rasuwa
NP0330,district,3,26,dhading
NP0328,district,3,27,nuwakot
NP0327,district,3,28,kathmandu
NP0326,district,3,29,bhaktapur
NP0325,district,3,30,lalitpur
NP0324,district,3,31,kavrepalanchok
NP0321,district,3,32,ramechhap
NP0320,district,3,33,sindhuli
NP0331,district,3,34,makwanpur
NP0335,district,3,35,chitawan
NP0436,district,4,36,gorkha
NP0438,district,4,37,manang
NP0445,district,4,38,mustang
NP0444,district,4,39,myagdi
NP0439,district,4,40,kaski
NP0437,district,4,41,lamjung
NP0440,district,4,42,tanahu
NP0447,district,4,43,nawalparasi_east
NP0441,district,4,44,syangja
NP0442,district,4,45,parbat
NP0443,district,4,46,baglung
NP0552,district,5,47,rukum_east
NP0554,district,5,48,rolpa
NP0555,district,5,49,pyuthan
NP0551,district,5,50,gulmi
NP0550,district,5,51,arghakhanchi
NP0546,district,5,52,palpa
NP0547,district,5,53,nawalparasi_west
NP0548,district,5,54,rupandehi
NP0549,district,5,55,kapilbastu
NP0556,district,5,56,dang
NP0557,district,5,57,banke
NP0558,district,5,58,bardiya
NP0662,district,6,59,dolpa
NP0665,district,6,60,mugu
NP0666,district,6,61,humla
NP0663,district,6,62,jumla
NP0664,district,6,63,kalikot
NP0661,district,6,64,dailekh
NP0660,district,6,65,jajarkot
NP0652,district,6,66,rukum_west
NP0653,district,6,67,salyan
NP0659,district,6,68,surkhet
NP0768,district,7,69,bajura
NP0767,district,7,70,bajhang
NP0775,district,7,71,darchula
NP0774,district,7,72,baitadi
NP0773,district,7,73,dadeldhura
NP0770,district,7,74,doti
NP0769,district,7,75,achham
NP0771,district,7,76,kailali
NP0772,district,7,77,kanchanpur
